JANUARY 9606985
FEBRUARY 9403751
MARCH 4357613
APRIL 283267
MAY 380484
JUNE 676832
JULY 1016705
AUGUST 1318001
SEPTEMBER 1775148
OCTOBER 2247303
NOVEMBER 1995476
DECEMBER 1933737
