JANUARY 4695123 1593885
FEBRUARY 4705920 1494484
MARCH 2210792 732009
APRIL 131097 83021
MAY 174388 109453
JUNE 322592 168953
JULY 491022 236437
AUGUST 637210 286914
SEPTEMBER 893908 343217
OCTOBER 1166719 393001
NOVEMBER 1044711 350312
DECEMBER 990357 356726
