0 5968742
1 5036473
2 4097692
3 3018290
4 1953609
5 1018959
6 1325484
7 1937881
8 2908963
9 4091200
10 4894769
11 5470288
12 5902534
13 6003421
14 5824030
15 5865702
16 5404837
17 5969334
18 6700470
19 6897326
20 5978333
21 5927112
22 6430481
23 6585759
